Points in r1,Points in r2,Points in r3,Points in r4,Points in r5,Points in r6,Points in r7,Distance from closest point,Population ,Average Age,Average Household Income ,Activity
0,0,0,2,3,5,14,3.1033693,8283,36,117590.58,0
0,0,0,0,0,1,3,9.9764723,39305,37,138248,0
0,0,0,0,0,0,4,12.9584107,18295,36,108496.35,0
0,1,1,1,1,1,5,0.781025,17870,41,143598.91,0
0,0,0,0,0,2,9,8.9822046,32393,30,142538.14,0
0,0,0,1,1,3,11,4.2638011,11345,31,130480.48,0
0,0,0,0,1,1,5,5.0990195,17870,41,143598.91,0
0,0,0,5,5,6,12,3.0370133,16734,38,150821.66,0
0,0,0,1,1,1,2,4.3185646,12360,42,95556,0
0,0,0,0,1,1,6,6.9256477,17870,41,143598.91,0
0,0,0,1,7,12,23,4.7668905,26977,23,148577.18,0
0,0,0,2,3,3,7,2.3882935,11258,38,116987,0
0,0,0,1,1,1,2,3.6674242,27338,33,137513.32,0
0,0,0,1,1,1,5,3.2984845,9546,34,147858.21,0
0,0,0,0,0,0,3,12.2258903,8748,32,158305,0
0,1,1,1,4,6,10,0.7211103,20434,39,126866,0
0,0,0,0,1,2,9,5.5027266,9546,34,147858.21,0
0,2,20,36,62,92,224,0.7841479,18614,30,169443.96,1
0,0,0,1,1,1,2,2.2203603,6513,35,102979.26,0
0,0,0,0,0,1,4,7.6655072,16871,35,144796,0
0,0,0,0,0,1,9,8.0156098,17516,34,126162.82,0
17,18,22,42,57,94,231,0.0254951,36981,31,164856,1
0,0,0,0,1,1,11,5.5582461,6191,37,123540,0
0,0,0,0,0,1,4,7.8056642,29708,32,152263,0
0,1,2,2,4,6,12,0.9120159,27534,32,132468,0
0,0,0,0,1,3,5,6.0827625,11258,38,116987,0
0,0,0,0,0,1,5,7.2062473,3673,41,125552,0
0,0,0,1,2,3,21,4.0336814,11311,34,124159,0
0,0,0,0,1,1,5,5.2068849,6232,39,128184,0
4,4,28,63,100,145,237,0.0355106,34221,28,182927.31,1
0,2,4,15,21,31,183,0.9812242,18614,30,169443.96,0
0,0,0,0,0,0,5,10.0806746,35035,40,108496.35,0
0,0,0,0,0,0,5,12.180244,6232,39,128184,0
0,0,0,0,0,1,6,9.7082439,17516,34,126162.82,0
0,0,0,2,3,3,8,4.6705925,11258,38,116987,0
0,0,0,3,4,6,12,2.0322296,27534,32,132468,0
0,0,0,0,1,2,3,6.3890531,15069,44,100927.19,0
0,0,0,0,0,2,8,8.1049368,16734,38,150821.66,0
0,0,0,2,2,2,6,2.3995152,8779,39,102729.61,0
0,0,0,1,1,1,5,4.0365394,23639,42,90300,0
0,0,0,0,1,1,2,5.3851648,7492,41,87300,0
0,1,2,14,18,59,135,0.6101352,6232,39,128184,0
0,0,0,0,0,0,3,11.1323852,8779,39,102729.61,0
0,0,0,0,1,2,4,5.6320511,15069,44,100927.19,0
0,0,0,0,1,1,6,6.4845971,8779,39,102729.61,0
0,0,0,0,0,1,8,9.2444578,16871,35,144796,0
0,0,0,5,6,6,41,3.5022955,6232,39,128184,0
0,0,0,1,1,2,8,2.5495098,12360,42,95556,0
0,0,0,0,0,0,4,10.7154095,18295,36,108496.35,0
0,0,0,0,1,3,12,6.8007353,11258,38,116987,0
0,0,0,1,1,2,4,3.8078866,7820,32,103761.97,0
0,0,0,0,0,1,1,8.988882,7769,42,106839.01,0
0,0,0,1,2,4,13,4.1824829,27534,32,132468,1
0,0,1,6,6,6,22,1.019949,11311,34,124159,1
0,0,0,3,4,7,21,2.1812907,26977,23,148577.18,0
0,0,0,0,0,0,3,11.9866593,11251,41,106476,0
1,2,2,8,20,78,175,0.1860242,34221,28,182927.31,1
0,0,0,1,2,3,16,4.0733079,9005,31,105797,0
0,0,0,7,12,27,155,3.6884479,32393,30,142538.14,0
0,0,0,2,7,13,149,4.2526907,34221,28,182927.31,0
0,0,2,21,32,71,178,1.695955,32393,30,142538.14,1
0,0,0,0,0,1,2,7.7103826,7492,41,87300,0
15,16,19,59,75,131,213,0.0396989,34221,28,182927.31,1
0,0,0,0,1,2,16,6.5006028,13117,41,90426.02,0
0,0,0,1,1,2,5,4.9819675,9546,34,147858.21,0
