Points in r1,Points in r2,Points in r3,Points in r4,Points in r5,Points in r6,Points in r7,Distance from closest point,Population ,Average Age,Average Household Income ,Activity
0,0,0,0,0,0,4,14.4894195,7539,45,157492,0
0,0,0,0,0,1,2,8.4380092,7492,41,87300,0
0,0,0,0,1,1,4,6.1741396,15069,44,100927.19,0
3,3,3,4,4,24,77,0.0490102,6232,39,128184,1
0,0,0,0,1,2,3,5.8940648,18295,36,108496.35,0
0,1,1,2,3,5,14,0.5658357,27534,32,132468,0
1,4,9,12,24,53,168,0.6298352,32393,30,142538.14,1
0,0,0,0,0,0,6,10.7447662,12356,37,101759,0
5,10,26,63,94,141,225,0.0328024,34221,28,182927.31,1
4,4,11,51,88,131,234,0.1133181,34221,28,182927.31,1
0,0,0,2,2,3,8,3.3734256,12346,41,117432,0
1,3,15,32,45,102,225,0.1546254,34221,28,182927.31,1
0,0,0,0,0,1,5,9.4514549,3673,41,125552,0
0,0,1,8,20,48,165,8.4239932,20434,39,126866,1
0,0,0,0,0,1,4,8.5146932,11914,38,107411.92,0
6,7,10,47,77,157,245,0.01,18614,30,169443.96,1
0,0,0,0,0,0,0,20.6526027,7539,45,157492,0
0,1,2,9,24,70,176,8.4067949,12360,42,95556,1
0,0,0,0,0,2,3,7.9881162,9450,38,96353.24,0
1,2,5,17,29,62,173,0.222468,8283,36,117590.58,1
0,0,0,0,0,1,3,7.0405966,16871,35,144796,0
4,4,4,6,11,43,176,0.0198494,11311,34,124159,1
0,0,0,1,1,1,4,4.8384927,9450,38,96353.24,0
0,0,0,0,0,0,10,11.1803399,32393,30,142538.14,0
0,0,0,0,0,0,2,13.4346567,5023,39,111509.65,0
0,2,4,8,18,25,130,2.4917622,18614,30,169443.96,1
2,9,11,15,21,59,142,0.4597486,6232,39,128184,1
0,0,0,2,7,10,23,3.8705613,26977,23,148577.18,0
0,1,1,6,14,27,217,0.8166439,32144,30,169577.18,1
1,1,13,39,86,128,234,0.1219561,34221,28,182927.31,1
0,0,2,9,13,20,46,1.2585011,18614,30,169443.96,0
0,0,0,0,0,0,3,10.2002402,7769,42,106839.01,0
0,0,0,0,0,0,7,13.788033,5023,39,111509.65,0
1,2,9,22,60,87,238,0.2687043,36981,31,164856,1
0,1,2,6,17,32,89,8.1060743,6232,39,128184,1
0,0,1,7,15,35,178,19.9248588,39305,37,138248,1
0,0,0,1,1,2,8,3.110164,15069,44,100927.19,0
1,5,16,53,72,116,243,0.0359026,36981,31,164856,1
0,0,0,0,0,0,4,11.4127122,13117,41,90426.02,0
0,0,0,0,0,1,2,8.4291162,27338,33,137513.32,0
0,1,2,8,17,38,119,1.8798292,8924,42,125739.63,1
0,0,0,1,1,1,6,2.8136446,17870,41,143598.91,0
15,15,25,59,74,130,215,0.05728,34221,28,182927.31,1
0,3,8,15,35,74,134,2.0571683,7492,41,87300,1
0,0,0,0,0,0,12,11.4890211,17516,34,126162.82,0
0,0,0,0,1,3,9,5.5369581,6232,39,128184,0
7,18,22,42,57,94,231,0.0310161,36981,31,164856,1
7,18,22,42,57,94,231,0.0241661,36981,31,164856,1
0,0,0,1,1,3,7,2.7202941,12346,41,117432,0
0,0,0,0,0,0,5,10.429173,23639,42,90300,0
0,0,0,0,0,0,1,11.1892806,7769,42,106839.01,0
0,0,2,15,27,55,183,3.549974,11344,32,162709.06,1
0,0,0,1,1,1,4,2.9937283,23639,42,90300,0
0,1,5,23,32,81,162,5.0191786,12346,41,117432,1
0,0,0,0,0,1,4,8.4267674,6232,39,128184,0
6,7,10,47,77,157,245,0.0304138,18614,30,169443.96,1
1,3,24,64,104,151,246,0,34221,28,182927.31,1
0,0,0,0,1,1,4,5.2801515,6513,35,102979.26,0
2,5,23,74,100,150,240,0.0516236,34221,28,182927.31,1
0,0,0,0,1,2,8,5.4107852,17870,41,143598.91,0
0,0,2,6,12,32,67,1.3298158,32144,30,169577.18,0
2,5,19,74,102,149,242,0.0736817,34221,28,182927.31,1
6,7,11,15,25,62,160,0.0302655,6232,39,128184,1
0,0,0,1,1,2,4,4.428318,9450,38,96353.24,0
0,0,6,12,29,95,245,1.2366064,34221,28,182927.31,1
0,0,0,0,0,0,1,11.8270876,11251,41,106476,0
0,0,0,1,1,2,16,3.6055513,32393,30,142538.14,0
0,0,1,5,12,27,155,3.2886158,32393,30,142538.14,1
0,0,0,0,0,1,5,7.7826731,6232,39,128184,0
0,1,3,14,56,131,230,19.7797877,7769,42,106839.01,1
0,0,2,5,7,13,164,1.0251932,26977,23,148577.18,1
0,0,0,0,0,0,5,13.2786259,6232,39,128184,0
1,1,2,7,7,7,23,0.2741842,26977,23,148577.18,0
0,1,2,8,14,27,201,0.8166439,32144,30,169577.18,1
0,0,0,1,1,2,15,4.6097722,12210,31,131646.75,0
0,0,0,0,1,2,11,5.6008928,20434,39,126866,0
0,0,0,1,2,5,10,4.2720019,11258,38,116987,0
0,0,0,0,1,1,6,6.080296,6232,39,128184,0
0,0,0,1,1,1,3,2.7969648,9450,38,96353.24,0
0,0,4,13,67,145,234,3.0899858,7394,38,87500,1
1,3,6,15,21,30,192,0.0376563,32144,30,169577.18,1
0,0,0,7,7,9,23,2.3446204,26977,23,148577.18,0
0,0,0,0,2,2,35,5.1617648,3287,35,123131,0
4,4,11,51,90,129,234,0.01,34221,28,182927.31,1
1,1,6,27,55,163,246,0.002,23639,42,90300,1
0,0,0,1,1,1,2,3.4928498,11914,38,107411.92,0
3,4,12,15,22,57,141,0.0441475,6232,39,128184,1
0,0,0,0,2,3,6,6.4163598,8779,39,102729.61,0
0,0,0,0,0,1,3,8.0230917,16871,35,144796,0
1,4,8,14,25,45,90,0.222468,8283,36,117590.58,1
0,0,0,0,0,1,7,9.4021274,16871,35,144796,0
0,0,0,1,2,2,5,3.4481879,27338,37,136748,0
0,2,5,10,20,56,100,100000,11914,38,107411.92,1
0,0,1,1,1,1,2,1.3416408,7769,42,106839.01,0
0,0,0,1,1,2,5,3.659981,20434,39,126866,0
1,4,11,29,70,197,251,16.1012422,12356,37,101759,1
0,0,0,0,0,1,13,8.5193541,17516,34,126162.82,0
0,0,0,0,1,1,4,6.7475922,8779,39,102729.61,0
